#,EXNAME,FIELD_OVERLAY,SEASONAL_STRATEGY,,!,!EXNAME,!WST_ID,!SOIL_ID,!Soil #,!,!Stratum,,!,MAN_ID,
*,NIORO001,NIORO------Soil1,NIORO-4----0XFX-CURRENT,,!,NIORO001,DJIG,ITSN840080,1,,4,,!,RAP_VER,
*,NIORO002,NIORO------Soil1,NIORO-3----0XFX-CURRENT,,!,NIORO002,DJIG,ITSN840080,1,,3,,!,CLIM_ID,0XFX
*,NIORO003,NIORO------Soil1,NIORO-5----0XFX-CURRENT,,!,NIORO003,DJIG,ITSN840080,1,,5,,!,DESCRIPTION,CURRENT
*,NIORO004,NIORO------Soil1,NIORO-1----0XFX-CURRENT,,!,NIORO004,DJIG,ITSN840080,1,,1,,,,
*,NIORO005,NIORO------Soil1,NIORO-4----0XFX-CURRENT,,!,NIORO005,DJIG,ITSN840080,1,,4,,,,
*,NIORO006,NIORO------Soil1,NIORO-3----0XFX-CURRENT,,!,NIORO006,DJIG,ITSN840080,1,,3,,,,
*,NIORO007,NIORO------Soil1,NIORO-3----0XFX-CURRENT,,!,NIORO007,DJIG,ITSN840080,1,,3,,,,
*,NIORO008,NIORO------Soil1,NIORO-5----0XFX-CURRENT,,!,NIORO008,DJIG,ITSN840080,1,,5,,,,
*,NIORO009,NIORO------Soil1,NIORO-4----0XFX-CURRENT,,!,NIORO009,DJIG,ITSN840080,1,,4,,,,
*,NIORO010,NIORO------Soil1,NIORO-5----0XFX-CURRENT,,!,NIORO010,DJIG,ITSN840080,1,,5,,,,
*,NIORO011,NIORO------Soil1,NIORO-2----0XFX-CURRENT,,!,NIORO011,DJIG,ITSN840080,1,,2,,,,
*,NIORO012,NIORO------Soil1,NIORO-4----0XFX-CURRENT,,!,NIORO012,DJIG,ITSN840080,1,,4,,,,
*,NIORO013,NIORO------Soil2,NIORO-4----0XFX-CURRENT,,!,NIORO013,MEDI,ITSN840042,2,,4,,,,
*,NIORO014,NIORO------Soil2,NIORO-4----0XFX-CURRENT,,!,NIORO014,MEDI,ITSN840042,2,,4,,,,
*,NIORO015,NIORO------Soil2,NIORO-4----0XFX-CURRENT,,!,NIORO015,MEDI,ITSN840042,2,,4,,,,
